document_id,application_id,document_type,upload_status,verification_status,uploaded_time
DOC23134839,APP81862712,Passport Photo,Failed,Pending,2026-03-22 01:12:31
DOC59715270,APP81862712,Aadhar Card,failed,pending,2025-10-10
DOC18810810,APP97337658,PHOTO,uploaded,Rejected,16-Jul-2025
DOC49913502,APP97337658,pan,uploaded,verified,22/01/2026
DOC26956821,APP97337658,AADHAAR CARD,uploaded,Rejected,2026-02-26 09:40:38
DOC75674360,APP97337658,Cancelled cheque,Failed,rejected,2025-05-26 20:02:43
DOC83670534,APP30922016,Photo,uploaded,pending,18/01/2025
DOC41288792,APP30922016,Aadhar Card,uploaded,verified,2025-08-03
DOC81203129,APP92273432,PAN,UPLOADED,rejected,22-Oct-2025
DOC46124903,APP92273432,Aadhaar,Uploaded,verified,03-31-2025
DOC24539291,APP92273432,cancelled cheque,Uploaded,pending,21/11/2025
DOC19900484,APP42932786,Aadhaar,failed,rejected,2026-02-18
DOC65808158,APP42932786,Cancelled cheque,Failed,rejected,2025-12-09
DOC33163003,APP82384198,PHOTO,UPLOADED,Pending,02/06/2026
DOC52785733,APP82384198,cancelled cheque,failed,Verified,2025-12-28 19:35:25
DOC20878965,APP82384198,Aadhaar,Failed,Rejected,04-Oct-2025
DOC37837070,APP82384198,PAN,uploaded,rejected,05-06-2025
DOC03412941,APP88926443,Pan Card,Failed,pending,10-13-2025
DOC38581636,APP88926443,cancelled cheque,UPLOADED,Rejected,18/05/2025
DOC10715418,APP88926443,photo id,Uploaded,rejected,2025-06-12
DOC74268053,APP95472551,Passport Photo,UPLOADED,Rejected,02/06/2026
DOC29278639,APP95472551,pan,uploaded,Verified,04-21-2025
DOC19783882,APP95472551,Aadhar Card,failed,Verified,29-Nov-2025
DOC88108723,APP70207377,Cancelled Cheque,uploaded,Rejected,2026-06-03 13:55:59
DOC09329211,APP70207377,aadhar,UPLOADED,Pending,08-15-2025
DOC51556682,APP70207377,Photo,UPLOADED,Rejected,2026-06-22
DOC13319112,APP40407549,Pan Card,uploaded,pending,2026-04-07
DOC83519503,APP40407549,cancelled cheque,uploaded,Pending,18/12/2025
DOC81616699,APP40407549,Passport Photo,failed,verified,2026-06-06 22:10:21
DOC49762241,APP79080785,PHOTO,Uploaded,verified,24-Mar-2025
DOC12519229,APP79080785,Aadhar Card,Failed,Verified,2025-11-20 22:25:37
DOC61317075,APP92292796,PAN CARD,UPLOADED,Rejected,19/05/2025
DOC89244888,APP92292796,AADHAAR CARD,Uploaded,Pending,2025-09-03
DOC61300097,APP92292796,PHOTO,Uploaded,Verified,2025-09-17
DOC69570057,APP92292796,cancelled cheque,UPLOADED,rejected,2025-12-26 11:13:14
DOC03797393,APP26805535,AADHAAR CARD,Uploaded,rejected,12-Jul-2025
DOC12959348,APP26805535,Passport Photo,uploaded,Rejected,09-23-2025
DOC92912162,APP26805535,cancelled cheque,uploaded,pending,12-21-2025
DOC83563265,APP26805535,PAN CARD,Failed,Verified,2025-01-07
DOC84670629,APP11313026,Pan Card,failed,rejected,26-Aug-2025
DOC44518944,APP11313026,Aadhar Card,failed,Verified,2026-06-15 07:25:11
DOC44367232,APP11313026,cancelled cheque,UPLOADED,Verified,01-25-2025
DOC13259598,APP11313026,Passport Photo,failed,Rejected,2026-05-14 02:33:57
DOC65554024,APP26308763,photo id,failed,Pending,2025-07-23
DOC53292293,APP26308763,cancelled cheque,Uploaded,Rejected,14-Oct-2025
DOC62263292,APP10065917,Cancelled Cheque,uploaded,Rejected,02/10/2025
DOC41803853,APP10065917,Passport Photo,failed,Rejected,01-04-2025
DOC45692434,APP88694614,Photo,Uploaded,Rejected,04-27-2026
DOC48706592,APP88694614,pan,uploaded,rejected,02-08-2026
DOC68742947,APP77685737,Aadhaar,uploaded,Rejected,04/03/2026
DOC26915852,APP77685737,Photo,uploaded,verified,20/04/2026
DOC71353704,APP54542203,Pan Card,Uploaded,Verified,10-25-2025
DOC51552350,APP54542203,aadhar,failed,pending,03-02-2026
DOC65873817,APP19035368,Cancelled cheque,failed,pending,06-21-2025
DOC52702041,APP19035368,aadhar,UPLOADED,Verified,01-Feb-2026
DOC73292900,APP63529591,Aadhar Card,failed,rejected,10-19-2025
DOC45799758,APP63529591,Pan Card,Uploaded,Verified,2025-06-19
DOC96790962,APP63529591,cancelled cheque,uploaded,verified,2026-04-07 10:56:46
DOC56975013,APP41393815,aadhar,Failed,Pending,2025-09-25 01:37:08
DOC17359127,APP41393815,PHOTO,Failed,Rejected,15/04/2026
DOC28460089,APP42907622,Cancelled Cheque,UPLOADED,Rejected,2025-04-15
DOC22469930,APP42907622,AADHAAR CARD,Failed,Pending,16/05/2026
DOC26121279,APP42907622,PAN,UPLOADED,verified,20/03/2026
DOC23686868,APP26033081,PAN,Uploaded,Rejected,2025-12-12
DOC24471901,APP26033081,cancelled cheque,uploaded,Rejected,02-28-2026
DOC26730544,APP26033081,Aadhaar,UPLOADED,Pending,2026-01-04
DOC31575520,APP26033081,photo id,Failed,verified,2025-09-13 15:22:45
DOC47278288,APP55915726,photo id,failed,Verified,01/06/2025
DOC07939064,APP55915726,Cancelled cheque,failed,pending,2025-08-03
DOC88938424,APP55915726,PAN CARD,Failed,Verified,16-Jul-2025
DOC80058917,APP55915726,Aadhar Card,Uploaded,Rejected,06-10-2025
DOC73458772,APP59626159,Cancelled Cheque,Uploaded,Verified,2025-03-11
DOC70814474,APP59626159,AADHAAR CARD,UPLOADED,verified,06-Jun-2025
DOC22100418,APP59626159,photo id,failed,rejected,2025-09-29 20:21:20
DOC55351503,APP59626159,PAN CARD,Failed,Verified,2025-05-02
DOC11893896,APP64783723,PAN,failed,rejected,27/04/2025
DOC46387632,APP64783723,Cancelled cheque,Uploaded,Verified,2026-02-02
DOC37907886,APP64783723,AADHAAR CARD,Uploaded,pending,2025-09-27
DOC53832176,APP64783723,PHOTO,failed,Verified,2026-06-20
DOC80198015,APP74540334,PHOTO,Uploaded,verified,2025-03-06 23:11:11
DOC69613866,APP74540334,PAN CARD,uploaded,Verified,2025-02-24
DOC09581103,APP74540334,Cancelled Cheque,Uploaded,Verified,2025-06-13
DOC37292337,APP72068164,Cancelled cheque,uploaded,pending,2025-02-28
