event_id,customer_id,event_name,event_time
EVT00000001,CUSFL10433218,Account Activated,07/09/2025
EVT00000002,CUSFL10433218,KYC Completed,03/08/2025
EVT00000003,CUSFL10433218,Login,02/06/2026
EVT00000004,CUSFL10433218,Session Started,27-Jun-2025
EVT00000005,CUSFL10433218,Esign_Completed,12-Dec-2025
EVT00000006,CUSFL10433218,OTP Verified,04-04-2026
EVT00000007,CUSFL10433218,KYC Completed,16-Aug-2025
EVT00000008,CUSFL10433218,Account Approved,20-Jan-2026
EVT00000009,CUSFL10433218,E-Sign Completed,04-14-2026
EVT00000010,CUSWV40265423,otp_verified,06-08-2025
EVT00000011,CUSWV40265423,Session Started,2025-01-18
EVT00000012,CUSWV40265423,otp_verified,17-Apr-2026
EVT00000013,CUSWV40265423,OTP Verified,31/07/2025
EVT00000014,CUSWV40265423,Document Uploaded,17/05/2025
EVT00000015,CUSWV40265423,account_activated,03-11-2026
EVT00000016,CUSFO95931034,otp_verified,2025-04-06 08:30:36
EVT00000017,CUSFO95931034,Document Uploaded,03-06-2025
EVT00000018,CUSFO95931034,account_activated,2026-02-15 05:09:17
EVT00000019,CUSFO95931034,KYC Completed,07-Jun-2025
EVT00000020,CUSOC27648350,E-Sign Completed,06-Jan-2026
EVT00000021,CUSOC27648350,OTP Verified,06-06-2025
EVT00000022,CUSOC27648350,E-Sign Completed,07-01-2025
EVT00000023,CUSOC27648350,otp_verified,03-01-2025
EVT00000024,CUSOC27648350,Account Activated,03-02-2026
EVT00000025,CUSOC27648350,E-Sign Completed,10-18-2025
EVT00000026,CUSOI88496965,KYC Completed,02-May-2026
EVT00000027,CUSOI88496965,account_activated,2025-05-19 03:26:58
EVT00000028,CUSOI88496965,Esign_Completed,2026-06-26
EVT00000029,CUSOI88496965,PAN Verified,16-Mar-2025
EVT00000030,CUSOI88496965,Esign_Completed,2026-05-07
EVT00000031,CUSOI88496965,Document Uploaded,2025-11-10
EVT00000032,CUSOI88496965,Login,07/03/2026
EVT00000033,CUSBK80184514,Account Approved,22-Jan-2025
EVT00000034,CUSBK80184514,KYC Completed,11-Jan-2026
EVT00000035,CUSBK80184514,Esign_Completed,03-26-2026
EVT00000036,CUSBK80184514,Esign_Completed,10-02-2025
EVT00000037,CUSBK80184514,OTP Verified,06-17-2025
EVT00000038,CUSBK80184514,OTP Verified,2025-06-13
EVT00000039,CUSBK80184514,KYC Completed,2025-01-27 13:33:41
EVT00000040,CUSBK80184514,account_activated,27-May-2025
EVT00000041,CUSBK80184514,E-Sign Completed,30-May-2025
EVT00000042,CUSPD09570154,E-Sign Completed,2025-03-01 07:38:53
EVT00000043,CUSPD09570154,Esign_Completed,2025-10-30
EVT00000044,CUSCH38346578,Document Uploaded,2025-05-29 10:09:46
EVT00000045,CUSCH38346578,Esign_Completed,2025-05-14 12:01:06
EVT00000046,CUSCH38346578,Esign_Completed,2026-05-06 16:08:23
EVT00000047,CUSCH38346578,Login,25/06/2026
EVT00000048,CUSCH38346578,Session Started,02-07-2026
EVT00000049,CUSCH38346578,Document Uploaded,2025-05-19
EVT00000050,CUSIU51834738,KYC Completed,07/04/2025
EVT00000051,CUSIU51834738,PAN Verified,23-Mar-2026
EVT00000052,CUSIU51834738,account_activated,2025-03-26
EVT00000053,CUSIU51834738,Document Uploaded,2025-08-13
EVT00000054,CUSIU51834738,OTP Verified,2026-06-09 23:16:05
EVT00000055,CUSIU51834738,Session Started,2025-07-14 03:35:11
EVT00000056,CUSCI06513338,Esign_Completed,02-23-2026
EVT00000057,CUSCI06513338,OTP Verified,02-13-2025
EVT00000058,CUSCI06513338,Session Started,2026-05-09 04:50:49
EVT00000059,CUSCI06513338,Document Uploaded,09-06-2025
EVT00000060,CUSCI06513338,KYC Completed,18-May-2026
EVT00000061,CUSCI06513338,account_activated,2025-05-30 16:45:41
EVT00000062,CUSCI06513338,KYC Completed,2025-06-24 11:15:37
EVT00000063,CUSCI06513338,Account Approved,01-Jan-2026
EVT00000064,CUSCI06513338,Session Started,12-16-2025
EVT00000065,CUSYQ77360260,Login,01-19-2025
EVT00000066,CUSYQ77360260,OTP Verified,21-Apr-2025
EVT00000067,CUSYQ77360260,OTP Verified,15-Jan-2026
EVT00000068,CUSYQ77360260,Login,2025-06-18 21:00:39
EVT00000069,CUSYQ77360260,KYC Completed,2025-02-22 16:13:09
EVT00000070,CUSYQ77360260,otp_verified,2026-03-14
EVT00000071,CUSGF00978820,KYC Completed,04-25-2026
EVT00000072,CUSGF00978820,Session Started,10/04/2025
EVT00000073,CUSGF00978820,kyc_completed,2025-03-19 15:35:31
EVT00000074,CUSGF00978820,Session Started,10-07-2025
EVT00000075,CUSGF00978820,PAN Verified,31-Dec-2025
EVT00000076,CUSGF00978820,E-Sign Completed,05-09-2025
EVT00000077,CUSGF00978820,account_activated,2026-05-10 09:43:03
EVT00000078,CUSGF00978820,kyc_completed,03-24-2026
EVT00000079,CUSGF00978820,KYC Completed,03-30-2026
EVT00000080,CUSQZ99854353,Account Activated,02-04-2025
EVT00000081,CUSQZ99854353,kyc_completed,03-Jan-2025
EVT00000082,CUSQZ99854353,account_activated,03-18-2025
EVT00000083,CUSQZ99854353,otp_verified,23-Feb-2026
EVT00000084,CUSIT25135427,Document Uploaded,26-Jan-2025
EVT00000085,CUSIT25135427,PAN Verified,2025-08-18
EVT00000086,CUSIT25135427,Account Activated,2026-03-13 07:42:36
EVT00000087,CUSOB53487401,E-Sign Completed,09/08/2025
EVT00000088,CUSOB53487401,E-Sign Completed,18-Mar-2026
EVT00000089,CUSOB53487401,Account Approved,2026-01-10 06:22:30
EVT00000090,CUSOB53487401,Esign_Completed,2025-03-08
EVT00000091,CUSOB53487401,Account Approved,2025-10-15 00:58:46
EVT00000092,CUSOB53487401,account_activated,2025-12-20
EVT00000093,CUSOB53487401,account_activated,06-17-2026
EVT00000094,CUSOB53487401,account_activated,24-Oct-2025
EVT00000095,CUSCT80598262,Esign_Completed,2025-12-18
EVT00000096,CUSCT80598262,E-Sign Completed,13/04/2025
EVT00000097,CUSCT80598262,Login,07-29-2025
EVT00000098,CUSCT80598262,E-Sign Completed,14-May-2025
EVT00000099,CUSCT80598262,otp_verified,04-09-2026
EVT00000100,CUSCT80598262,Login,26-Apr-2025
EVT00000101,CUSCT80598262,KYC Completed,24/12/2025
EVT00000102,CUSCT80598262,Session Started,05-29-2025
EVT00000103,CUSCT80598262,Session Started,24/06/2025
EVT00000104,CUSYC02563421,Account Activated,2025-12-27 04:00:16
EVT00000105,CUSYC02563421,KYC Completed,30/12/2025
EVT00000106,CUSYC02563421,E-Sign Completed,2025-08-05
EVT00000107,CUSYC02563421,Login,2025-08-05 21:23:26
EVT00000108,CUSYC02563421,Account Approved,2026-04-22
EVT00000109,CUSYC02563421,Account Approved,2025-08-23 04:33:23
EVT00000110,CUSYC02563421,E-Sign Completed,03-28-2026
EVT00000111,CUSYC02563421,E-Sign Completed,2025-07-30 05:34:25
EVT00000112,CUSYC02563421,KYC Completed,2025-05-02
EVT00000113,CUSLL58685014,OTP Verified,05-Mar-2025
EVT00000114,CUSLL58685014,Esign_Completed,07/05/2025
EVT00000115,CUSBE40608835,account_activated,2025-09-27 20:46:08
EVT00000116,CUSBE40608835,Account Activated,13/03/2025
EVT00000117,CUSBE40608835,KYC Completed,2025-12-20
EVT00000118,CUSBE40608835,Session Started,2025-11-01
EVT00000119,CUSBE40608835,E-Sign Completed,02-07-2025
EVT00000120,CUSAT66299468,Login,27-Jun-2026
EVT00000121,CUSAT66299468,PAN Verified,05-Nov-2025
EVT00000122,CUSAT66299468,account_activated,26-May-2026
EVT00000123,CUSAT66299468,Document Uploaded,11-20-2025
EVT00000124,CUSAT66299468,otp_verified,2026-05-11
EVT00000125,CUSAT66299468,OTP Verified,02-10-2026
EVT00000126,CUSAT66299468,Account Activated,02-Mar-2026
EVT00000127,CUSBC95134332,OTP Verified,2025-02-22
EVT00000128,CUSBC95134332,KYC Completed,2026-06-05 23:28:20
EVT00000129,CUSHD63287083,PAN Verified,2025-04-09
EVT00000130,CUSHD63287083,Account Activated,2025-04-15 07:57:35
EVT00000131,CUSHD63287083,Esign_Completed,08/06/2026
EVT00000132,CUSHD63287083,account_activated,11-Apr-2025
EVT00000133,CUSHD63287083,otp_verified,16-Mar-2026
EVT00000134,CUSHD63287083,E-Sign Completed,2025-04-03
EVT00000135,CUSHD63287083,Account Activated,25/09/2025
EVT00000136,CUSHD63287083,PAN Verified,03-03-2025
EVT00000137,CUSHD63287083,Login,2026-06-14 23:24:10
EVT00000138,CUSET43487347,KYC Completed,29-Jul-2025
EVT00000139,CUSET43487347,Account Approved,2025-03-18 05:36:06
EVT00000140,CUSET43487347,Account Activated,21-Mar-2026
EVT00000141,CUSET43487347,OTP Verified,05/04/2026
EVT00000142,CUSET43487347,kyc_completed,2025-04-06
EVT00000143,CUSXL58760366,Esign_Completed,2026-06-15 00:10:43
EVT00000144,CUSXL58760366,Document Uploaded,2025-03-11 08:36:05
EVT00000145,CUSXL58760366,OTP Verified,21/05/2026
EVT00000146,CUSXL58760366,Account Activated,24/05/2026
EVT00000147,CUSXL58760366,Session Started,06-27-2026
EVT00000148,CUSXL58760366,Esign_Completed,12/10/2025
EVT00000149,CUSXL58760366,Account Approved,04-29-2026
EVT00000150,CUSXL58760366,Esign_Completed,27/02/2026
EVT00000151,CUSXL58760366,Account Approved,02-26-2025
EVT00000152,CUSUK34670656,KYC Completed,2026-04-08
EVT00000153,CUSUK34670656,KYC Completed,2025-11-30 11:25:22
EVT00000154,CUSUK34670656,E-Sign Completed,13/06/2026
EVT00000155,CUSRW46537556,Session Started,06-23-2026
EVT00000156,CUSRW46537556,KYC Completed,28/04/2025
EVT00000157,CUSRW46537556,OTP Verified,12/08/2025
EVT00000158,CUSRW46537556,KYC Completed,06-23-2025
EVT00000159,CUSRW46537556,Account Activated,2025-03-05
EVT00000160,CUSND09232719,otp_verified,2026-03-04 22:09:03
EVT00000161,CUSND09232719,Account Activated,2025-06-05 15:44:50
EVT00000162,CUSYK31931491,Esign_Completed,22/06/2025
EVT00000163,CUSYK31931491,otp_verified,07/07/2025
EVT00000164,CUSYK31931491,Account Approved,02/08/2025
EVT00000165,CUSYK31931491,Account Approved,22-Apr-2025
EVT00000166,CUSYK31931491,PAN Verified,2025-10-14
EVT00000167,CUSYK31931491,PAN Verified,2026-06-21 09:19:29
EVT00000168,CUSYK31931491,account_activated,2025-10-29
EVT00000169,CUSYK31931491,Session Started,13/12/2025
EVT00000170,CUSYK31931491,PAN Verified,2025-04-18
EVT00000171,CUSDB26284987,Account Approved,2026-06-07
EVT00000172,CUSDB26284987,otp_verified,19/12/2025
EVT00000173,CUSDB26284987,Esign_Completed,10-14-2025
EVT00000174,CUSDB26284987,Account Activated,23-Jul-2025
EVT00000175,CUSDB26284987,Account Activated,03/03/2025
EVT00000176,CUSMS52735454,Esign_Completed,02-03-2025
EVT00000177,CUSMS52735454,otp_verified,31/12/2025
EVT00000178,CUSMS52735454,Account Approved,2025-01-22 15:46:42
EVT00000179,CUSMS52735454,Account Approved,14/08/2025
EVT00000180,CUSMS52735454,account_activated,2025-05-01
EVT00000181,CUSJH43634957,kyc_completed,28-Feb-2026
EVT00000182,CUSJH43634957,Document Uploaded,2026-06-23 15:18:01
EVT00000183,CUSJH43634957,KYC Completed,17/05/2026
EVT00000184,CUSJH43634957,otp_verified,2025-07-23
EVT00000185,CUSJH43634957,Account Approved,17-Feb-2026
EVT00000186,CUSJH43634957,Session Started,2025-06-02 11:29:17
EVT00000187,CUSJH43634957,KYC Completed,2025-11-30
EVT00000188,CUSJH43634957,Session Started,01/12/2025
EVT00000189,CUSJH43634957,Account Activated,08-Dec-2025
EVT00000190,CUSMS37498941,OTP Verified,2025-10-28 16:20:17
EVT00000191,CUSMS37498941,Esign_Completed,2025-02-16
EVT00000192,CUSMS37498941,Account Approved,24/06/2025
EVT00000193,CUSMS37498941,PAN Verified,10-Jun-2025
EVT00000194,CUSMS37498941,Account Approved,03-30-2026
EVT00000195,CUSMS37498941,kyc_completed,21-Dec-2025
EVT00000196,CUSMS37498941,otp_verified,05/01/2026
EVT00000197,CUSQE94777520,Account Activated,2026-06-19 05:36:50
EVT00000198,CUSQE94777520,otp_verified,05-28-2025
EVT00000199,CUSQE94777520,Account Approved,09-30-2025
EVT00000200,CUSQE94777520,OTP Verified,04-20-2026
EVT00000201,CUSQE94777520,Session Started,2026-04-04 20:48:28
EVT00000202,CUSQE94777520,Account Activated,19-Jun-2025
EVT00000203,CUSQE94777520,Account Activated,01-24-2026
EVT00000204,CUSCT69993867,KYC Completed,2025-05-10
EVT00000205,CUSCT69993867,E-Sign Completed,2025-01-08
EVT00000206,CUSCT69993867,Account Approved,06-Apr-2026
EVT00000207,CUSCT69993867,Session Started,08-14-2025
EVT00000208,CUSCT69993867,Account Activated,2025-12-09 05:16:51
EVT00000209,CUSCT69993867,Account Approved,04-10-2026
EVT00000210,CUSSC81206797,KYC Completed,14/03/2026
EVT00000211,CUSSC81206797,Account Activated,16/06/2025
EVT00000212,CUSSC81206797,OTP Verified,2026-01-02 02:58:31
EVT00000213,CUSSC81206797,Login,05-26-2025
EVT00000214,CUSSC81206797,otp_verified,2025-01-24
EVT00000215,CUSSC81206797,Account Approved,17-Jan-2025
EVT00000216,CUSSC81206797,PAN Verified,2026-03-13
EVT00000217,CUSSC81206797,kyc_completed,09/08/2025
EVT00000218,CUSHD10249947,Document Uploaded,21/08/2025
EVT00000219,CUSHD10249947,Account Activated,05-08-2025
EVT00000220,CUSHD10249947,Login,25/12/2025
EVT00000221,CUSWW13990490,OTP Verified,08-Jun-2026
EVT00000222,CUSWW13990490,E-Sign Completed,11/05/2025
EVT00000223,CUSWW13990490,E-Sign Completed,2025-12-18
EVT00000224,CUSWW13990490,Session Started,05-May-2026
EVT00000225,CUSWW13990490,Esign_Completed,10/06/2025
EVT00000226,CUSWW13990490,Account Activated,16/09/2025
EVT00000227,CUSWW13990490,OTP Verified,12-21-2025
EVT00000228,CUSWW13990490,OTP Verified,07-Feb-2025
EVT00000229,CUSFU56746807,Login,2026-03-18
EVT00000230,CUSFU56746807,Login,08-25-2025
EVT00000231,CUSFU56746807,OTP Verified,2025-06-16
EVT00000232,CUSFU56746807,kyc_completed,13/10/2025
EVT00000233,CUSFU56746807,OTP Verified,28-Mar-2026
EVT00000234,CUSFU56746807,Login,05-19-2026
EVT00000235,CUSFU56746807,OTP Verified,29-Aug-2025
EVT00000236,CUSFU56746807,otp_verified,2025-05-20 14:12:07
EVT00000237,CUSHB03482477,E-Sign Completed,20-Feb-2025
EVT00000238,CUSHB03482477,Account Approved,04/12/2025
EVT00000239,CUSHB03482477,otp_verified,03-17-2025
EVT00000240,CUSHB03482477,E-Sign Completed,2026-02-03
EVT00000241,CUSHB03482477,Account Activated,26/02/2025
EVT00000242,CUSHB03482477,Session Started,2025-12-12
EVT00000243,CUSHB03482477,Session Started,16-Mar-2025
EVT00000244,CUSHB03482477,OTP Verified,15/03/2025
EVT00000245,CUSJJ48467737,PAN Verified,03-Aug-2025
EVT00000246,CUSJJ48467737,OTP Verified,17-Jul-2025
EVT00000247,CUSJJ48467737,KYC Completed,26-Oct-2025
EVT00000248,CUSJJ48467737,Esign_Completed,03-24-2026
EVT00000249,CUSJJ48467737,PAN Verified,2025-08-21 06:16:37
EVT00000250,CUSJJ48467737,Session Started,2025-07-22 23:28:48
EVT00000251,CUSDU78755886,KYC Completed,06-16-2026
EVT00000252,CUSDU78755886,PAN Verified,2025-05-05
EVT00000253,CUSDU78755886,Esign_Completed,14/12/2025
EVT00000254,CUSDU78755886,Session Started,2026-01-03 19:54:39
EVT00000255,CUSDU78755886,KYC Completed,20/09/2025
EVT00000256,CUSDU78755886,Login,2025-09-02 06:49:02
EVT00000257,CUSAU89517187,PAN Verified,06-07-2025
EVT00000258,CUSAU89517187,Esign_Completed,07-23-2025
EVT00000259,CUSAU89517187,otp_verified,2025-12-07 05:31:47
EVT00000260,CUSAU89517187,Esign_Completed,2025-03-04 23:11:19
EVT00000261,CUSAU89517187,kyc_completed,2025-12-16
EVT00000262,CUSGW09134316,Login,12-Apr-2025
EVT00000263,CUSGW09134316,Account Activated,01-07-2025
EVT00000264,CUSGW09134316,E-Sign Completed,2025-12-03
EVT00000265,CUSGW09134316,Session Started,2026-01-23 06:33:52
EVT00000266,CUSGW09134316,PAN Verified,15-Dec-2025
EVT00000267,CUSGW09134316,KYC Completed,2025-04-15
EVT00000268,CUSGW09134316,Document Uploaded,25/09/2025
EVT00000269,CUSGW09134316,PAN Verified,08-Apr-2025
EVT00000270,CUSGW09134316,Session Started,2025-11-18 11:58:26
EVT00000271,CUSYN86922219,Account Approved,2026-01-18 08:00:07
EVT00000272,CUSYN86922219,Document Uploaded,2026-04-04
EVT00000273,CUSYN86922219,Esign_Completed,01-09-2025
EVT00000274,CUSYN86922219,OTP Verified,04/03/2026
EVT00000275,CUSYN86922219,Session Started,04-29-2026
EVT00000276,CUSYN86922219,Session Started,20-Mar-2025
EVT00000277,CUSYN86922219,PAN Verified,05-08-2026
EVT00000278,CUSYN86922219,Document Uploaded,2025-12-16
EVT00000279,CUSMY75946474,OTP Verified,2025-05-07 06:13:49
EVT00000280,CUSMY75946474,Login,2026-03-18
EVT00000281,CUSMY75946474,kyc_completed,15/11/2025
EVT00000282,CUSMY75946474,KYC Completed,05-15-2026
EVT00000283,CUSNQ97439533,Document Uploaded,2025-04-19 09:33:30
EVT00000284,CUSNQ97439533,account_activated,07/07/2025
EVT00000285,CUSNQ97439533,KYC Completed,24-Feb-2026
EVT00000286,CUSNQ97439533,Account Activated,10-Jun-2025
EVT00000287,CUSNQ97439533,OTP Verified,07/02/2025
EVT00000288,CUSQE32858842,account_activated,04-Nov-2025
EVT00000289,CUSQE32858842,Document Uploaded,2026-05-17
EVT00000290,CUSGR81754965,KYC Completed,15-Mar-2026
EVT00000291,CUSGR81754965,PAN Verified,2025-05-29
EVT00000292,CUSGR81754965,OTP Verified,11-04-2025
EVT00000293,CUSGR81754965,account_activated,17/01/2025
EVT00000294,CUSGR81754965,kyc_completed,2025-01-01
EVT00000295,CUSGR81754965,OTP Verified,14-Jan-2026
EVT00000296,CUSGR81754965,OTP Verified,03-29-2025
EVT00000297,CUSGR81754965,KYC Completed,2025-08-16
EVT00000298,CUSGR81754965,PAN Verified,06-Sep-2025
EVT00000299,CUSDX47113826,PAN Verified,2025-11-13 05:56:11
EVT00000300,CUSDX47113826,Account Approved,2026-03-19
EVT00000301,CUSDX47113826,Account Activated,12/10/2025
EVT00000302,CUSDX47113826,account_activated,02-07-2026
EVT00000303,CUSDX47113826,Login,2025-08-18
EVT00000304,CUSDX47113826,Account Activated,31-Dec-2025
EVT00000305,CUSRM35158506,PAN Verified,2025-04-11
EVT00000306,CUSRM35158506,otp_verified,2025-01-17
EVT00000307,CUSRM35158506,kyc_completed,2025-06-17 21:55:54
EVT00000308,CUSRM35158506,Account Activated,13/11/2025
EVT00000309,CUSRM35158506,OTP Verified,2025-07-13 06:25:43
EVT00000310,CUSRM35158506,Login,2025-03-24 23:52:45
EVT00000311,CUSRM35158506,Account Approved,26-Apr-2026
EVT00000312,CUSRM35158506,Login,2025-11-01 13:00:56
EVT00000313,CUSJI93352904,kyc_completed,2025-07-09 15:43:25
EVT00000314,CUSJI93352904,KYC Completed,23/02/2025
EVT00000315,CUSJI93352904,KYC Completed,29/11/2025
EVT00000316,CUSJI93352904,PAN Verified,2026-01-23 16:17:23
EVT00000317,CUSJI93352904,kyc_completed,2025-08-28
EVT00000318,CUSJI93352904,Login,21/06/2025
EVT00000319,CUSJI93352904,Account Activated,2025-12-20 02:21:15
EVT00000320,CUSJI93352904,KYC Completed,15/06/2026
EVT00000321,CUSJI93352904,PAN Verified,14/03/2025
EVT00000322,CUSLG68117758,KYC Completed,30-Nov-2025
EVT00000323,CUSLG68117758,Esign_Completed,05-18-2026
EVT00000324,CUSLG68117758,KYC Completed,2025-12-18 05:28:56
EVT00000325,CUSLG68117758,otp_verified,09-13-2025
EVT00000326,CUSNO11592124,PAN Verified,09-Dec-2025
EVT00000327,CUSNO11592124,Account Activated,03-Jun-2025
EVT00000328,CUSNO11592124,Document Uploaded,2025-10-04 20:46:29
EVT00000329,CUSNO11592124,KYC Completed,05-02-2026
EVT00000330,CUSNO11592124,OTP Verified,19/11/2025
EVT00000331,CUSNO11592124,account_activated,06-12-2026
EVT00000332,CUSUB73657661,Esign_Completed,2026-01-07
EVT00000333,CUSUB73657661,E-Sign Completed,12/11/2025
